sg_uf;cd_cargo;ds_cargo;nr_candidato;nm_candidato;nm_urna_candidato;sg_partido;ds_composicao_coligacao;nr_turno;ds_sit_totalizacao;dt_ult_totalizacao;sg_ue;sq_candidato;nm_tipo_destinacao_votos;sq_eleicao_divulga;qt_votos_nom_validos;qt_votos_concorrentes
MA;7;Deputado Estadual;43301;DENISE CARVALHO GOMES;DENISE CARVALHO;PV;PT / PV / PC do B;1;Suplente;2022-10-03 03:11:03;MA;100001613735;Válido;2040602022;177;3701453
MA;7;Deputado Estadual;22201;SERGIO EDUARDO NOGUEIRA DE ARAUJO;SERGIO NOGUEIRA;PL;PL;1;Suplente;2022-10-03 03:11:03;MA;100001603184;Válido;2040602022;177;3701453
MA;7;Deputado Estadual;11226;LUIS CARLOS SENA DE FREITAS;PROF LUIS CARLOS;PP;PP;1;Suplente;2022-10-03 03:11:03;MA;100001608100;Válido;2040602022;175;3701453
MA;7;Deputado Estadual;50070;PRISCILA DE FATIMA CARVALHO COSTA;PRISCILA DO COLETIVO ANDIROBAL;PSOL;REDE / PSOL;1;Não Eleito;2022-10-03 03:11:03;MA;100001725366;Válido;2040602022;175;3701453
MA;7;Deputado Estadual;14567;CLAUDIMIRO FREITAS LOPES;CLAUDIMIRO;PTB;PTB;1;Não Eleito;2022-10-03 03:11:03;MA;100001648822;Válido;2040602022;174;3701453
MA;7;Deputado Estadual;16000;LUZIVANDA DAMASCENO DA SILVA RAMOS;LUZIVANDA;PSTU;PSTU;1;Não Eleito;2022-10-03 03:11:03;MA;100001600021;Válido;2040602022;173;3701453
MA;7;Deputado Estadual;90900;JOCIANNE FERREIRA GOMES MATOS;JOSY MATOS;PROS;PROS;1;Não Eleito;2022-10-03 03:11:03;MA;100001599560;Válido;2040602022;172;3701453
MA;7;Deputado Estadual;19777;LOURIVAL DE OLIVEIRA SANTOS;LOURIVAL SANTOS;PODE;PODE;1;Suplente;2022-10-03 03:11:03;MA;100001614816;Válido;2040602022;171;3701453
MA;7;Deputado Estadual;51321;HERMOGENES SENA CHAGAS;MAGAL COLETIVO ZONA RURAL;PATRIOTA;PATRIOTA;1;Suplente;2022-10-03 03:11:03;MA;100001608120;Válido;2040602022;171;3701453
MA;7;Deputado Estadual;45333;ELIJANE CÉLIA CUTRIM BARROS;JANE DO PAÇO;PSDB;CIDADANIA / PSDB;1;Não Eleito;2022-10-03 03:11:03;MA;100001619962;Válido;2040602022;170;3701453
